int	int	int	string	int	int	int	int	int	int	int[]	int[]	string
1024	1007	3	奇什	2101	2	0	0	0	0	1908	1602;1603	奇什（男主角），三位进入森林的大学生之一。
1025	1008	1	萧火火	2101	2	0	0	0	0	1903;1913;1926;1948	1601;1603	萧火火（主角）天资卓越的少年，坚韧不屈，豪放洒脱，经过不懈的努力和磨练成最强之人
1026	1008	2	药闹	2101	2	0	1203	0	0	1913;1921;1926	1603;1602	药闹（配角）炼药师，萧火火的导师，以灵魂形态存在，斗尊巅峰最强者
1027	1008	3	萧香儿	2104	2	0	0	0	0	1904;1922;1935	1603;1604	萧香儿（配角）古族族长千金，天赋异禀，清纯可人，冰雪聪明，最终与萧火火历经艰险修成正果
1028	1008	4	纳兰伊然	2104	2	0	0	0	0	1904;1909	1601;1603	纳兰伊然（配角）萧火火未婚妻，美丽冷艳，傲气盛人，认为萧火火无法胜任其丈夫登门退婚。
1029	1009	1	丁豹	2101	2	0	0	0	0	1914;1934;1948	1601;1602	丁豹（主角）一个退休军官特工，六十岁的身体素质却强过许多年轻人。但是年纪过大，记忆衰退，经常健忘。
1030	1009	2	春花	2101	2	0	0	0	0	1942;1944	1602;1605	春花（主角）乐观的小姑娘，天真无邪。母亲离家出走，父亲惹是生非，非常不幸。
1031	1009	3	李振久	2104	2	0	0	0	0	1936;1930;1911	1602;1603	李振久（配角）嗜赌成性且脾气暴躁，赌博、盗窃。一次被卷入黑道混战。
1032	1010	1	小马	2101	2	0	0	0	0	1917;1946	1603;1604	小马（主角）职业是鉴黄师，凭借职业敏感一眼就发现了伪装成饶舌歌手的大木老师
1033	1010	2	大木	2101	2	0	0	0	0	1932;1946	1602;1604	大木（主角）长相酷似饶舌歌手的表演艺术家，成就是千人斩
1034	1010	3	蜜桃	2104	2	0	0	1401	0	1917;1946	1601;1602	蜜桃（配角）习惯性便秘的合气道高手，苦苦追寻穿山甲到底说了什么
