int	int	string	string	string	string	string
2524	15	test118	Test118	国家4档		
2525	15	test119	Test119	国家5档		
2526	15	test120	Test120	国家6档		
2527	15	test121	Test121	国家7档		
2528	15	test122	Test122	国家8档		
2529	15	test123	Test123	国家9档		
2530	15	test124	Test124	国家10档		
2531	15	test125	Test125	全球1档		
2532	15	test126	Test126	全球2档		
2533	15	test127	Test127	全球3档		
2534	15	test128	Test128	全球4档		
2535	15	test129	Test129	全球5档		
2536	15	test130	Test130	全球6档		
2537	15	test131	Test131	全球7档		
2538	15	test132	Test132	全球8档		
2539	15	test133	Test133	全球9档		
2540	15	test134	Test134	全球10档		
2601	16	test135	Test135	歌舞_经验		
2602	16	test136	Test136	爱情_经验		
2603	16	test137	Test137	喜剧_经验		
2604	16	test138	Test138	叙事_经验		
2605	16	test139	Test139	动作_经验		
2606	16	test140	Test140	恐怖_经验		
2607	16	test141	Test141	动画_经验		
2608	16	test142	Test142	悬疑_经验		
